model,description,price_input_per_1m_tokens_dollar_us,price_output_per_1m_tokens_dollar_us,context_window,max_output_tokens,training_data,date_recorded,source,source_price,price_avg_per_1m_tokens_dollar_us
gpt-4o,"GPT-4o: Our high-intelligence flagship model for complex, multi-step tasks. GPT-4o is cheaper and faster than GPT-4 Turbo. Currently points to gpt-4o-2024-05-13 [1].",5,15,128000,4096,Up to Oct 2023,2024-09-10T12:24:27Z,https://platform.openai.com/docs/models,https://openai.com/api/pricing/,10
gpt-4o-2024-05-13,gpt-4o currently points to this version.,5,15,128000,4096,Up to Oct 2023,2024-09-10T12:24:27Z,https://platform.openai.com/docs/models,https://openai.com/api/pricing/,10
gpt-4o-2024-08-06,Latest snapshot that supports Structured Outputs,2.5,10,128000,16384,Up to Oct 2023,2024-09-10T12:24:27Z,https://platform.openai.com/docs/models,https://openai.com/api/pricing/,6.25
chatgpt-4o-latest,Dynamic model continuously updated to the current version of GPT-4o in ChatGPT. Intended for research and evaluation [2].,5,15,128000,16384,Up to Oct 2023,2024-09-10T12:24:27Z,https://platform.openai.com/docs/models,https://openai.com/api/pricing/,10
gpt-4o-mini,"Our affordable and intelligent small model for fast, lightweight tasks. GPT-4o mini is cheaper and more capable than GPT-3.5 Turbo. Currently points to gpt-4o-mini-2024-07-18.",0.15,0.6,128000,16384,Up to Oct 2023,2024-09-10T12:24:27Z,https://platform.openai.com/docs/models,https://openai.com/api/pricing/,0.375
gpt-4o-mini-2024-07-18,gpt-4o-mini currently points to this version.,0.15,0.6,128000,16384,Up to Oct 2023,2024-09-10T12:24:27Z,https://platform.openai.com/docs/models,https://openai.com/api/pricing/,0.375
gpt-4-turbo,The latest GPT-4 Turbo model with vision capabilities. Vision requests can now use JSON mode and function calling. Currently points to gpt-4-turbo-2024-04-09.,10,30,128000,4096,Up to Dec 2023,2024-09-10T12:24:27Z,https://platform.openai.com/docs/models,https://openai.com/api/pricing/,20
gpt-4-turbo-2024-04-09,GPT-4 Turbo with Vision model. Vision requests can now use JSON mode and function calling. gpt-4-turbo currently points to this version,10,30,128000,4096,Up to Dec 2023,2024-09-10T12:24:27Z,https://platform.openai.com/docs/models,https://openai.com/api/pricing/,20
gpt-4-turbo-preview,GPT-4 Turbo preview model. Currently points to gpt-4-0125-preview.,10,30,128000,4096,Up to Dec 2023,2024-09-10T12:24:27Z,https://platform.openai.com/docs/models,https://openai.com/api/pricing/,20
gpt-4-0125-preview,GPT-4 Turbo preview model intended to reduce cases of “laziness” where the model doesn’t complete a task. Learn more.,10,30,128000,4096,Up to Dec 2023,2024-09-10T12:24:27Z,https://platform.openai.com/docs/models,https://openai.com/api/pricing/,20
gpt-4-1106-preview,"GPT-4 Turbo preview model featuring improved instruction following, JSON mode, reproducible outputs, parallel function calling, and more. This is a preview model. Learn more.",10,30,128000,4096,Up to Apr 2023,2024-09-10T12:24:27Z,https://platform.openai.com/docs/models,https://openai.com/api/pricing/,20
gpt-4,Currently points to gpt-4-0613. See continuous model upgrades.,30,60,8192,8192,Up to Sep 2021,2024-09-10T12:24:27Z,https://platform.openai.com/docs/models,https://openai.com/api/pricing/,45
gpt-4-0613,Snapshot of gpt-4 from June 13th 2023 with improved function calling support.,NA,NA,8192,8192,Up to Sep 2021,2024-09-10T12:24:27Z,https://platform.openai.com/docs/models,https://openai.com/api/pricing/,NA
gpt-4-0314,Snapshot of gpt-4 from March 14th 2023.,NA,NA,8192,8192,Up to Sep 2021,2024-09-10T12:24:27Z,https://platform.openai.com/docs/models,https://openai.com/api/pricing/,NA
